,datetime,open,close,high,low,volume,openinterest
18722,20210517  15:20,566.33,565.97,566.68,564.55,1804,
18723,20210517  15:25,565.84,565.84,566.95,565.33,1978,
18724,20210517  15:30,565.99,570.11,570.7,565.99,2869,
18725,20210517  15:35,570.04,569.7,570.42,568.47,2498,
18726,20210517  15:40,569.75,571.86,572.3,569.74,2959,
18727,20210517  15:45,571.93,571.71,572.4,571.06,1967,
18728,20210517  15:50,571.67,575.47,575.59,571.66,4296,
18729,20210517  15:55,575.48,576.83,576.89,574.93,4977,
18730,20210517  16:00,576.83,575.67,576.83,575.5,3679,
18731,20210517  16:05,575.67,576.7,576.78,575.54,216,
18732,20210517  16:10,576.5,576.0,576.6,575.22,144,
18733,20210517  16:15,576.35,576.16,576.35,576.0,21,
18734,20210517  16:20,576.0,575.6,576.01,575.22,59,
18735,20210517  16:25,575.51,575.71,576.0,575.5,52,
18736,20210517  16:30,575.7,573.0,575.7,572.61,192,
18737,20210517  16:35,572.88,573.5,576.83,572.5,65,
18738,20210517  16:40,573.15,572.5,573.22,571.3,63,
18739,20210517  16:45,572.82,574.0,574.3,572.6,86,
18740,20210517  16:50,573.96,573.9,574.25,573.9,19,
18741,20210517  16:55,573.7,573.6,574.0,573.6,25,
18742,20210517  17:00,573.65,573.8,573.98,573.61,9,
18743,20210517  17:05,573.95,574.3,574.48,573.8,30,
18744,20210517  17:10,573.75,574.01,574.01,573.41,22,
18745,20210517  17:15,573.55,572.5,573.99,571.94,113,
18746,20210517  17:20,572.45,573.0,573.0,572.0,12,
18747,20210517  17:25,573.1,573.49,573.49,573.1,10,
18748,20210517  17:30,573.47,572.7,573.49,572.52,7,
18749,20210517  17:35,572.71,573.0,573.29,572.71,32,
18750,20210517  17:40,573.29,573.29,573.49,573.29,10,
18751,20210517  17:45,573.5,573.6,573.6,573.5,2,
18752,20210517  17:50,573.59,570.0,573.59,570.0,134,
18753,20210517  17:55,570.61,571.11,572.5,570.55,17,
18754,20210517  18:00,571.23,572.0,572.0,571.23,15,
18755,20210517  18:05,571.81,571.5,571.81,571.23,15,
18756,20210517  18:10,572.0,571.15,572.0,571.1,36,
18757,20210517  18:15,572.0,571.35,572.0,571.0,30,
18758,20210517  18:20,570.8,571.5,571.5,570.8,12,
18759,20210517  18:25,571.5,571.5,571.5,571.26,20,
18760,20210517  18:30,571.72,572.5,572.5,570.81,24,
18761,20210517  18:35,571.89,571.89,571.89,571.89,1,
18762,20210517  18:40,571.7,572.0,572.0,571.51,6,
18763,20210517  18:45,572.0,571.7,572.0,571.5,4,
18764,20210517  18:50,571.25,570.25,571.25,570.24,22,
18765,20210517  18:55,570.01,571.0,571.0,570.01,22,
18766,20210517  19:00,571.4,571.4,571.4,571.4,2,
18767,20210517  19:05,571.5,571.75,571.75,571.5,4,
18768,20210517  19:10,571.31,571.25,571.31,571.25,2,
18769,20210517  19:15,571.5,571.8,571.9,571.5,50,
18770,20210517  19:20,571.82,571.82,571.82,571.82,2,
18771,20210517  19:25,572.3,571.5,572.65,571.5,39,
18772,20210517  19:30,571.28,571.41,571.41,571.0,8,
18773,20210517  19:35,571.8,570.5,571.8,570.48,100,
18774,20210517  19:40,570.5,570.3,571.0,569.65,69,
18775,20210517  19:45,570.5,571.28,571.8,570.5,47,
18776,20210517  19:50,571.25,570.9,571.5,570.8,22,
18777,20210517  19:55,570.85,571.94,571.97,570.85,75,
